time_point,gene,column,row,value
13h,PA14_37530,1,3,440987
13h,PA14_37530,2,3,1644087
13h,PA14_37530,1,3,0
13h,PA14_37530,2,3,744134
13h,PA14_37530,1,3,898490
13h,PA14_37530,2,3,1540058
13h,PA14_37530,1,3,369126
13h,PA14_37530,2,3,1668864
19h,PA14_37530,1,3,2445766
19h,PA14_37530,2,3,2191835
19h,PA14_37530,1,3,2295585
19h,PA14_37530,2,3,2251422
19h,PA14_37530,1,3,2216836
19h,PA14_37530,2,3,2155767
19h,PA14_37530,1,3,2525058
19h,PA14_37530,2,3,2207039
39h,PA14_37530,1,3,4299032
39h,PA14_37530,2,3,3666234
39h,PA14_37530,1,3,4386366
39h,PA14_37530,2,3,3951453
39h,PA14_37530,1,3,3910314
39h,PA14_37530,2,3,3717743
39h,PA14_37530,1,3,4406251
39h,PA14_37530,2,3,3734420
44h,PA14_37530,1,3,5563301
44h,PA14_37530,2,3,4181885
44h,PA14_37530,1,3,5369403
44h,PA14_37530,2,3,4684492
44h,PA14_37530,1,3,5268838
44h,PA14_37530,2,3,4405379
44h,PA14_37530,1,3,4979373
44h,PA14_37530,2,3,4278453
69h,PA14_37530,1,3,8958577
69h,PA14_37530,2,3,6855242
69h,PA14_37530,1,3,8866994
69h,PA14_37530,2,3,7514088
69h,PA14_37530,1,3,8379396
69h,PA14_37530,2,3,6834573
69h,PA14_37530,1,3,8619328
69h,PA14_37530,2,3,6842387
89h,PA14_37530,1,3,10857878
89h,PA14_37530,2,3,8351559
89h,PA14_37530,1,3,10670031
89h,PA14_37530,2,3,9049703
89h,PA14_37530,1,3,9556826
89h,PA14_37530,2,3,8338936
89h,PA14_37530,1,3,9687813
89h,PA14_37530,2,3,7790344
13h,PA14_66480,1,5,948255
13h,PA14_66480,2,5,620564
13h,PA14_66480,4,9,631127
13h,PA14_66480,1,5,349892
13h,PA14_66480,2,5,536049
13h,PA14_66480,4,9,547745
13h,PA14_66480,1,5,1000738
13h,PA14_66480,2,5,566240
13h,PA14_66480,4,9,551115
13h,PA14_66480,1,5,1086360
13h,PA14_66480,2,5,516802
13h,PA14_66480,4,9,1592012
19h,PA14_66480,1,5,2389846
19h,PA14_66480,2,5,2084302
19h,PA14_66480,4,9,1941776
19h,PA14_66480,1,5,2663001
19h,PA14_66480,2,5,2124639
19h,PA14_66480,4,9,1946491
19h,PA14_66480,1,5,2300504
19h,PA14_66480,2,5,2160153
19h,PA14_66480,4,9,1990314
19h,PA14_66480,1,5,2513114
19h,PA14_66480,2,5,2207630
19h,PA14_66480,4,9,1978996
39h,PA14_66480,1,5,4114164
39h,PA14_66480,2,5,3560547
39h,PA14_66480,4,9,3387205
39h,PA14_66480,1,5,4350307
39h,PA14_66480,2,5,3609452
39h,PA14_66480,4,9,3476362
39h,PA14_66480,1,5,3993040
39h,PA14_66480,2,5,3686493
39h,PA14_66480,4,9,3529353
39h,PA14_66480,1,5,4382662
39h,PA14_66480,2,5,3775588
39h,PA14_66480,4,9,3498893
44h,PA14_66480,1,5,5344050
44h,PA14_66480,2,5,4004717
44h,PA14_66480,4,9,3855420
44h,PA14_66480,1,5,4767988
44h,PA14_66480,2,5,4221418
44h,PA14_66480,4,9,3929413
44h,PA14_66480,1,5,4544089
44h,PA14_66480,2,5,4192729
44h,PA14_66480,4,9,3982971
44h,PA14_66480,1,5,4910881
44h,PA14_66480,2,5,4192285
44h,PA14_66480,4,9,4002145
69h,PA14_66480,1,5,8622933
69h,PA14_66480,2,5,6463778
69h,PA14_66480,4,9,5463860
69h,PA14_66480,1,5,9111071
69h,PA14_66480,2,5,6835467
69h,PA14_66480,4,9,6106415
