Gene_Locus,Unambiguous Insertion Location?,GeneID,Tn_insertion_position(bp),Gene_Length(bp),PAO1_ortholog,Gene_Name,Gene_Description
EMPTY,,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
